id_eje,ejecutora_nombre,year,ind_eje,propim,proinv,pim,devengado,certificado,compromiso_anual,inverre,pim_total,invtot
MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,2022,.99234074,.78960788,.91666669,638015,633128.2799999999,633128.2799999999,633128.2799999999,11,808015,12
MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,2023,.92772114,.61610949,.70833331,523759,485902.3,519404.3,519404.3,17,850107,24
MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,MUNICIPALIDAD DISTRITAL  DE SAN JOSE DE LOS CHORRILLOS - CUENCA,2024,.97203588,.88575989,.8888889,737489,716865.76,716865.76,716865.76,16,832606,18
MUNICIPALIDAD DISTRITAL  HEROES ALBARRACIN - CHUCATAMANI,MUNICIPALIDAD DISTRITAL  HEROES ALBARRACIN - CHUCATAMANI,2022,.71625555,.094413504,.35135135,1568179,1123216.86,1125843.86,1124643.86,13,16609689,37
MUNICIPALIDAD DISTRITAL  HEROES ALBARRACIN - CHUCATAMANI,MUNICIPALIDAD DISTRITAL  HEROES ALBARRACIN - CHUCATAMANI,2023,.71698046,.10622287,.875,694104,497659,613215.9,513215.9,7,6534412,8
MUNICIPALIDAD DISTRITAL  HEROES ALBARRACIN - CHUCATAMANI,MUNICIPALIDAD DISTRITAL  HEROES ALBARRACIN - CHUCATAMANI,2024,.8483842,.13094911,.42857143,1228515,1042252.74,1107351.33,1102296.33,3,9381622,7
MUNICIPALIDAD DISTRITAL APARICIO POMARES,MUNICIPALIDAD DISTRITAL APARICIO POMARES,2022,.81433409,1,1,2772578,2257804.8,2483057.76,2420889.13,10,2772578,10
MUNICIPALIDAD DISTRITAL APARICIO POMARES,MUNICIPALIDAD DISTRITAL APARICIO POMARES,2023,.85491782,1,1,1501438,1283606.12,1429886.54,1379686.54,20,1501438,20
MUNICIPALIDAD DISTRITAL APARICIO POMARES,MUNICIPALIDAD DISTRITAL APARICIO POMARES,2024,.63626355,.14309828,.68421054,1193610,759450.5099999999,993110.5099999999,976390.5099999999,13,8341190,19
MUNICIPALIDAD DISTRITAL ASCENSION,MUNICIPALIDAD DISTRITAL ASCENSION,2022,.59458804,.41793129,.85714287,5340179,3175206.57,5128970.43,3333414.97,24,12777648,28
MUNICIPALIDAD DISTRITAL ASCENSION,MUNICIPALIDAD DISTRITAL ASCENSION,2023,.75173432,.27232391,.86363637,4852206,3647569.66,3950768.97,3795104.87,19,17817774,22
MUNICIPALIDAD DISTRITAL ASCENSION,MUNICIPALIDAD DISTRITAL ASCENSION,2024,.83494431,.4619717,.83783782,5583584,4661981.77,5333416.3,5192930.35,31,12086420,37
MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,2022,.70407766,.41857499,.9848485,15612287,10992262.07,15183338.88,12264349.59,130,37298661,132
MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,MUNICIPALIDAD DISTRITAL CANOAS DE PUNTA SAL,2023,.59467143,.32164133,.84210527,6284883,3737440.42,6196635.5,5427031.970000001,32,19540035,38
